max_features,ngram_range,C,class_weight,accuracy,time_s
50000,1-2,1.0,balanced,0.89335,4.905523777008057
80000,1-2,1.0,None,0.8933,6.397953987121582
80000,1-2,1.0,balanced,0.89315,5.594544887542725
50000,1-2,1.0,None,0.89295,5.41267204284668
80000,1-2,1.5,balanced,0.8901,7.739004135131836
80000,1-2,1.5,None,0.89,5.878230094909668
50000,1-2,1.5,balanced,0.88765,5.642448902130127
50000,1-2,1.5,None,0.88755,5.317314863204956
80000,1-1,1.0,balanced,0.8787,4.908874988555908
80000,1-1,1.0,None,0.87855,4.512716054916382
50000,1-1,1.0,balanced,0.8779,5.156262159347534
50000,1-1,1.0,None,0.8778,1.871851921081543
80000,1-1,1.5,None,0.87515,5.343195199966431
80000,1-1,1.5,balanced,0.87505,5.928826808929443
50000,1-1,1.5,None,0.87465,2.306035280227661
50000,1-1,1.5,balanced,0.874,5.0853729248046875
