max_features,ngram_range,C,class_weight,accuracy,time_s
50000,1-2,1.0,None,0.8956,6.49619722366333
50000,1-2,1.0,balanced,0.8956,7.912038803100586
80000,1-2,1.0,None,0.8943666666666666,8.180513143539429
80000,1-2,1.0,balanced,0.8941666666666667,8.613393306732178
50000,1-2,1.5,balanced,0.8920333333333333,8.693000078201294
50000,1-2,1.5,None,0.8917666666666667,7.989873886108398
80000,1-2,1.5,balanced,0.8901666666666667,7.102095127105713
80000,1-2,1.5,None,0.89,13.196061849594116
80000,1-1,1.0,None,0.8836333333333334,6.306161165237427
50000,1-1,1.0,balanced,0.8836,8.186235904693604
50000,1-1,1.0,None,0.8835666666666666,8.949352979660034
80000,1-1,1.0,balanced,0.8835666666666666,9.058818101882935
50000,1-1,1.5,balanced,0.8811333333333333,8.136298179626465
80000,1-1,1.5,None,0.8810333333333333,12.194373846054077
80000,1-1,1.5,balanced,0.8809333333333333,11.345169067382812
50000,1-1,1.5,None,0.8807,8.611289262771606
